gvkey,from,thru,conm,co_conm,co_tic
9774,19941001,20130926,S&P 1500 Super Composite,SMITHFIELD FOODS INC,0173A
14489,19910601,20131028,S&P 1500 Super Composite,DELL TECHNOLOGIES INC,7732B
14489,20160907,20160907,S&P 1500 Super Composite,DELL TECHNOLOGIES INC,7732B
15092,19941001,20140217,S&P 1500 Super Composite,CEC ENTERTAINMENT INC,9614B
126554,20000605,,S&P 1500 Super Composite,AGILENT TECHNOLOGIES INC,A
27638,20161101,20161101,S&P 1500 Super Composite,ALCOA CORP,AA
1356,19670101,20161031,S&P 1500 Super Composite,ALCOA INC,AA-3
62634,20050829,20170618,S&P 1500 Super Composite,ALTABA INC,AABA
1045,20150323,,S&P 1500 Super Composite,AMERICAN AIRLINES GROUP INC,AAL
1076,20101213,,S&P 1500 Super Composite,AARON'S INC,AAN
18564,20170425,,S&P 1500 Super Composite,APPLIED OPTOELECTRONICS INC,AAOI
21542,20090819,,S&P 1500 Super Composite,AAON INC,AAON
145977,20041229,,S&P 1500 Super Composite,ADVANCE AUTO PARTS INC,AAP
1690,19821101,,S&P 1500 Super Composite,APPLE INC,AAPL
185549,20131008,,S&P 1500 Super Composite,AMERICAN ASSETS TRUST INC,AAT
61155,20130301,,S&P 1500 Super Composite,ATLAS AIR WORLDWIDE HLDG INC,AAWW
143912,20140205,,S&P 1500 Super Composite,AXON ENTERPRISE INC,AAXN
24888,20080226,,S&P 1500 Super Composite,ABAXIS INC,ABAX
16101,20130102,,S&P 1500 Super Composite,ABBVIE INC,ABBV
31673,20001003,,S&P 1500 Super Composite,AMERISOURCEBERGEN CORP,ABC
30222,20151102,,S&P 1500 Super Composite,AMERIS BANCORP,ABCB
144640,20160127,,S&P 1500 Super Composite,ASBURY AUTOMOTIVE GROUP INC,ABG
1410,19941001,,S&P 1500 Super Composite,ABM INDUSTRIES INC,ABM
13619,20121224,,S&P 1500 Super Composite,ABIOMED INC,ABMD
1078,19670101,,S&P 1500 Super Composite,ABBOTT LABORATORIES,ABT
22461,19941001,20170305,S&P 1500 Super Composite,ARCTIC CAT INC,ACAT
161048,20110919,,S&P 1500 Super Composite,AMERICAN CAMPUS COMMUNITIES,ACC
1094,20140501,,S&P 1500 Super Composite,ACETO CORP,ACET
192255,20170406,,S&P 1500 Super Composite,ACADIA HEALTHCARE CO INC,ACHC
31564,19990701,,S&P 1500 Super Composite,ACI WORLDWIDE INC,ACIW
137602,20171019,,S&P 1500 Super Composite,AXCELIS TECHNOLOGIES INC,ACLS
147988,20090304,,S&P 1500 Super Composite,AECOM,ACM
143357,20110706,,S&P 1500 Super Composite,ACCENTURE PLC,ACN
14182,20040802,20140511,S&P 1500 Super Composite,AMCOL INTERNATIONAL CORP,ACO
156617,20121005,,S&P 1500 Super Composite,ACORDA THERAPEUTICS INC,ACOR
2536,19941001,,S&P 1500 Super Composite,ACXIOM CORP,ACXM
12540,19910601,,S&P 1500 Super Composite,ADOBE SYSTEMS INC,ADBE
30067,20130731,,S&P 1500 Super Composite,AGREE REALTY CORP,ADC
1632,19910601,,S&P 1500 Super Composite,ANALOG DEVICES,ADI
1722,19810701,,S&P 1500 Super Composite,ARCHER-DANIELS-MIDLAND CO,ADM
27333,20161031,20161031,S&P 1500 Super Composite,ADIENT PLC,ADNT
1891,19810201,,S&P 1500 Super Composite,AUTOMATIC DATA PROCESSING,ADP
20672,20160104,20170424,S&P 1500 Super Composite,ADEPTUS HEALTH INC,ADPTQ
143974,20040701,,S&P 1500 Super Composite,ALLIANCE DATA SYSTEMS CORP,ADS
1878,19891201,,S&P 1500 Super Composite,AUTODESK INC,ADSK
14438,20121001,20160502,S&P 1500 Super Composite,ADT CORP,ADT-4
30576,19990806,,S&P 1500 Super Composite,ADTRAN INC,ADTN
61557,20010601,20150708,S&P 1500 Super Composite,ADVENT SOFTWARE INC,ADVS
29164,20130626,20150805,S&P 1500 Super Composite,ASSOCIATED ESTATES RLTY CORP,AEC
10860,19941230,,S&P 1500 Super Composite,AMEREN CORP,AEE
5978,19941001,,S&P 1500 Super Composite,AEGION CORP,AEGN
61562,20001213,,S&P 1500 Super Composite,ADVANCED ENERGY INDS INC,AEIS
156383,20141020,,S&P 1500 Super Composite,AMERICAN EQTY INVT LIFE HLDG,AEL
30059,19991116,,S&P 1500 Super Composite,AMERN EAGLE OUTFITTERS INC,AEO
1440,19670101,,S&P 1500 Super Composite,AMERICAN ELECTRIC POWER CO,AEP
